A,B,C,D,E,F
13,18,14,23,15,17
13,18,14,23,15,17
13,18,14,23,14,18
13,18,13,23,14,19
14,17,13,23,14,19
15,17,13,23,13,19
16,17,13,23,13,18
16,17,13,23,13,18
16,17,13,22,14,18
16,17,14,22,13,18
15,17,14,22,14,18
16,17,13,22,14,18
16,17,13,22,13,19
17,17,13,21,13,19
17,16,13,22,13,19
17,16,13,21,13,20
17,16,13,20,14,20
18,15,13,20,14,20
17,16,13,20,14,20
17,17,12,20,14,20
17,17,12,20,14,20
17,17,12,21,13,20
17,17,11,21,13,21
17,17,12,21,12,21
17,17,12,20,12,22
18,17,12,20,12,21
18,17,12,21,11,21
18,17,12,21,10,22
18,17,12,22,10,21
18,17,12,22,10,21
18,17,12,22,10,21
18,16,12,22,10,22
18,16,12,23,10,21
18,17,12,22,10,21
18,17,12,22,10,21
18,18,12,22,10,20
18,18,12,22,10,20
18,18,12,22,10,20
18,18,12,22,10,20
17,18,12,22,10,21
16,18,12,22,11,21
16,18,12,23,11,20
16,19,11,23,11,20
16,19,11,23,11,20
16,19,11,23,11,20
16,20,11,23,11,19
15,20,12,23,11,19
15,19,13,23,11,19
15,19,13,23,11,19
15,19,13,24,10,19
15,19,13,24,10,19
14,19,14,24,10,19
15,19,14,24,10,18
15,19,14,24,9,19
15,19,14,24,9,19
16,19,13,24,9,19
17,18,13,24,9,19
17,18,13,25,9,18
17,19,13,25,9,17
17,19,13,24,9,18
17,20,13,24,9,17
17,20,13,25,9,16
17,21,13,24,9,16
17,21,13,24,9,16
17,20,13,24,10,16
17,20,13,24,10,16
17,20,13,24,10,16
18,20,13,23,10,16
19,20,13,23,9,16
19,20,12,23,9,17
19,19,12,24,9,17
19,18,12,24,9,18
19,19,12,24,9,17
19,19,12,24,9,17
19,18,12,25,9,17
19,17,12,25,9,18
19,17,12,25,9,18
19,17,12,25,9,18
19,17,12,26,9,17
18,17,12,26,10,17
18,16,13,26,10,17
18,15,13,26,11,17
18,15,13,25,11,18
19,15,12,25,11,18
19,15,12,25,11,18
19,15,12,25,12,17
19,15,12,24,13,17
19,15,12,23,13,18
19,15,12,23,13,18
20,15,12,22,13,18
19,16,12,22,13,18
19,15,12,22,13,19
19,15,13,21,13,19
20,15,13,21,13,18
20,15,13,21,14,17
20,15,13,21,14,17
20,15,13,21,15,16
20,15,13,20,16,16
20,15,14,19,16,16
