A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
39,49,46,50,68,43,44,57,46,60,49,48,50,47,44,48,41,58,63,50
39,49,46,50,68,43,44,57,46,60,49,48,50,47,44,48,41,58,62,51
39,49,46,50,69,43,44,57,46,60,49,48,49,47,44,48,41,58,62,51
39,49,46,50,69,43,44,57,46,60,49,48,49,47,44,48,41,58,63,50
39,49,46,49,69,43,44,57,46,60,49,48,49,47,45,48,41,58,63,50
39,49,46,49,69,43,44,57,46,59,49,49,49,47,45,48,41,58,63,50
39,49,46,49,69,43,44,57,46,60,49,48,49,47,45,48,41,58,63,50
39,49,46,48,69,43,44,57,46,60,49,48,49,47,45,48,41,58,64,50
39,49,46,48,69,43,43,57,46,60,49,48,49,47,45,48,41,58,65,50
39,49,47,48,69,43,43,57,45,60,49,48,49,47,45,48,41,58,65,50
39,50,47,48,69,43,43,57,45,60,49,48,49,47,45,48,40,58,65,50
39,50,47,48,69,43,43,57,45,61,49,48,49,47,45,48,40,58,64,50
39,50,47,48,70,43,43,57,45,61,49,48,49,47,45,48,39,58,64,50
40,50,47,48,70,43,43,57,45,61,49,48,49,47,45,48,39,58,63,50
40,50,47,48,70,43,43,56,45,61,50,48,49,47,45,48,39,58,63,50
40,50,47,48,70,43,43,55,45,61,50,49,49,47,45,48,39,58,63,50
40,50,47,48,70,43,43,56,45,60,50,49,49,47,45,48,39,58,63,50
40,50,47,48,70,43,43,56,45,59,50,49,50,47,45,48,39,58,63,50
40,51,47,48,70,42,43,56,45,59,50,49,50,47,45,48,39,58,63,50
40,51,47,48,70,42,43,56,45,59,50,49,50,48,45,48,39,58,63,49
40,51,47,48,70,42,43,56,45,59,50,49,50,48,44,49,39,58,63,49
40,51,46,48,70,42,43,56,45,59,50,50,50,48,44,49,39,58,63,49
40,52,46,48,70,42,43,56,45,59,50,49,50,48,44,49,39,58,63,49
40,52,46,48,70,42,43,56,45,59,50,49,50,48,44,49,38,59,63,49
40,52,46,48,70,42,43,56,45,59,50,49,50,48,44,48,38,59,64,49
40,52,46,48,70,41,43,56,45,60,50,49,50,48,44,48,38,59,64,49
40,52,46,48,70,41,43,56,46,60,50,49,50,48,44,48,38,59,64,48
40,52,46,48,70,41,43,56,46,60,50,50,50,48,43,48,38,59,64,48
40,52,46,48,70,41,43,56,46,61,50,50,50,48,43,48,38,58,64,48
40,52,46,48,70,41,43,56,46,61,51,50,50,48,43,48,38,57,64,48
40,52,46,48,71,41,43,56,46,61,50,50,50,48,43,48,38,57,64,48
40,52,46,48,70,41,43,56,46,61,50,50,50,48,43,48,39,57,64,48
40,52,46,48,70,41,43,56,46,60,50,50,50,49,43,48,39,57,64,48
40,52,46,48,70,41,44,55,46,60,50,50,50,49,43,48,39,57,64,48
40,52,47,48,70,41,44,55,46,60,50,50,50,49,43,48,39,56,64,48
40,52,47,48,70,41,44,55,46,60,51,49,50,49,43,48,39,56,64,48
40,52,47,48,70,41,44,55,46,59,51,49,51,49,43,48,39,56,64,48
40,52,47,48,70,41,44,55,46,59,51,49,51,50,43,48,39,56,64,47
39,52,47,48,70,41,44,55,46,59,51,49,51,50,43,48,39,56,65,47
39,52,47,48,71,41,44,55,46,59,51,49,50,50,43,48,39,56,65,47
39,52,46,48,71,41,44,55,46,59,51,49,50,50,43,48,40,56,65,47
40,52,46,48,71,41,44,55,46,59,51,48,50,50,43,48,40,56,65,47
40,52,46,48,71,41,44,55,46,58,51,48,50,50,43,48,40,57,65,47
40,52,46,48,71,41,44,55,47,58,51,48,49,50,43,48,40,57,65,47
40,52,46,49,71,41,44,55,47,58,51,48,49,50,42,48,40,57,65,47
41,52,46,49,71,41,44,55,47,58,51,48,49,49,42,48,40,57,65,47
41,52,45,49,71,41,44,55,47,58,51,49,49,49,42,48,40,57,65,47
41,52,45,49,71,41,44,55,47,58,51,49,49,50,42,48,40,57,65,46
41,52,45,49,71,42,44,55,47,57,51,49,49,50,42,48,40,57,65,46
40,52,45,49,71,42,44,55,47,57,51,49,49,50,43,48,40,57,65,46
40,53,45,49,71,42,44,55,46,57,51,49,49,50,43,48,40,57,65,46
40,53,45,49,71,42,44,55,46,57,51,49,49,50,43,48,40,57,65,46
40,53,45,49,71,42,44,55,47,57,51,49,49,50,43,48,39,57,65,46
40,52,45,49,71,42,44,55,47,57,51,49,49,50,43,48,40,57,65,46
40,52,45,49,71,42,44,55,47,57,51,49,49,50,43,48,40,57,65,46
40,52,45,49,71,41,44,55,47,57,52,49,49,50,43,48,40,57,65,46
40,52,44,49,71,42,44,55,47,57,52,49,49,50,43,48,40,57,65,46
40,52,45,49,71,42,44,55,47,57,52,48,49,50,43,48,40,57,65,46
40,52,45,49,71,42,44,56,47,57,52,48,49,50,43,47,40,57,65,46
40,52,45,49,71,42,44,56,47,57,52,48,49,50,43,47,40,57,65,46
40,51,45,49,71,42,44,57,47,57,52,48,49,50,43,47,40,57,65,46
40,51,46,49,71,42,44,57,47,56,52,48,49,50,43,47,40,57,65,46
40,51,46,49,71,42,44,57,47,55,52,48,49,50,43,47,41,57,65,46
40,51,46,49,71,41,44,57,48,55,52,48,49,50,43,47,41,57,65,46
40,51,46,49,71,41,44,57,48,55,52,48,49,51,43,47,41,56,65,46
40,51,46,49,71,41,44,57,48,55,53,48,49,51,43,47,41,55,65,46
40,50,46,49,71,41,44,57,48,55,53,48,49,51,43,47,41,55,65,47
40,50,46,49,71,41,44,58,48,55,53,48,49,50,43,47,41,55,65,47
40,50,46,49,71,41,44,57,48,55,53,48,49,50,43,47,41,56,65,47
40,50,46,49,71,41,44,58,48,55,53,48,49,50,43,47,41,55,65,47
40,50,46,49,71,41,44,57,48,56,53,48,49,50,43,47,41,55,65,47
40,50,46,49,71,41,44,57,48,56,52,48,49,50,43,47,41,55,66,47
40,50,46,48,71,41,45,57,48,56,52,48,49,50,43,47,41,55,66,47
40,50,47,48,71,41,45,57,48,55,52,48,49,50,43,47,41,55,66,47
40,50,47,48,71,41,45,57,48,54,52,48,49,50,43,47,42,55,66,47
40,50,47,48,71,41,45,58,48,54,51,48,49,50,43,47,42,55,66,47
40,50,47,48,72,41,45,58,48,53,51,48,49,50,43,47,42,55,66,47
40,50,47,48,73,41,45,58,48,53,51,48,49,50,43,47,42,55,66,46
40,50,47,48,73,41,45,58,48,53,51,48,49,50,43,47,42,55,66,46
41,50,46,48,73,41,45,58,48,53,51,48,49,50,43,47,42,55,66,46
41,50,46,48,73,41,45,58,48,53,51,48,49,50,43,46,42,55,66,47
41,50,47,48,73,41,45,58,48,52,51,48,49,50,43,46,42,55,66,47
41,50,47,48,73,41,45,58,48,52,51,49,48,50,43,46,42,55,66,47
41,50,47,48,73,41,45,58,48,52,51,49,48,50,43,46,42,55,66,47
41,50,47,48,73,41,45,58,48,52,51,49,48,50,42,47,42,55,66,47
40,50,47,48,73,41,45,58,48,52,51,49,48,50,42,47,42,55,66,48
40,50,47,48,73,41,45,58,48,52,51,49,48,50,43,47,42,55,66,47
40,51,47,48,73,41,45,58,48,51,51,49,48,50,43,47,42,55,66,47
40,51,47,48,72,42,45,58,48,51,51,49,48,50,43,47,42,55,66,47
40,51,47,48,72,42,45,58,48,51,51,49,48,50,43,47,42,55,66,47
40,51,47,48,72,42,45,58,48,52,51,49,48,49,43,47,42,55,66,47
40,51,47,48,72,42,45,58,48,52,51,49,47,49,43,47,42,55,66,48
40,51,47,48,72,42,45,58,48,52,51,49,47,49,43,47,42,55,66,48
40,51,47,48,72,42,45,58,48,52,51,49,47,50,43,47,42,55,66,47
39,51,47,48,72,42,45,58,49,52,51,49,47,50,43,47,42,55,66,47
39,51,47,48,72,42,44,58,49,52,51,49,48,50,43,47,42,55,66,47
39,51,47,48,72,42,44,58,50,52,51,49,48,50,43,47,41,55,66,47
39,51,47,48,72,42,43,58,50,52,51,49,48,50,43,47,42,55,66,47
39,51,47,48,72,42,43,58,49,52,51,49,48,51,43,47,42,55,66,47
39,51,47,48,72,41,43,58,49,52,51,50,48,51,43,47,42,55,66,47
39,50,47,48,72,41,43,59,49,52,51,50,48,51,43,47,42,55,66,47
39,50,47,48,71,41,43,59,49,52,51,50,48,51,44,47,42,55,66,47
39,50,47,48,71,41,43,59,49,52,51,50,48,51,44,47,42,55,66,47
39,50,47,48,71,40,43,59,50,52,51,50,48,51,44,47,42,55,66,47
39,50,47,47,71,40,43,59,50,52,51,50,48,51,44,48,42,55,66,47
39,50,47,47,71,41,43,59,50,52,51,50,48,51,43,48,42,55,66,47
39,50,47,47,71,41,43,59,50,52,51,51,48,51,43,47,42,55,66,47
39,50,47,47,71,41,43,59,50,52,51,51,47,51,43,47,42,55,66,48
39,50,47,47,71,41,43,59,50,52,51,51,47,50,43,48,42,55,66,48
39,50,47,47,71,41,43,58,50,52,51,51,48,50,43,48,42,55,66,48
39,50,47,47,71,41,43,58,50,53,51,51,48,50,43,48,42,54,66,48
39,50,47,47,71,41,43,58,50,53,51,51,48,50,44,48,42,53,66,48
39,50,47,48,71,41,43,58,50,53,51,51,48,50,44,48,42,52,66,48
39,50,47,48,70,41,43,58,50,53,51,51,48,50,44,49,42,52,66,48
39,50,47,49,70,41,43,58,50,53,51,51,48,50,44,49,42,52,65,48
39,50,47,48,70,41,43,58,50,53,51,51,49,50,44,49,42,52,65,48
39,50,47,48,70,41,43,58,50,53,51,51,50,50,44,49,42,52,64,48
39,50,47,48,70,42,43,58,50,53,51,51,50,50,44,49,42,51,64,48
39,50,47,48,70,42,44,58,50,52,51,51,50,50,44,49,42,51,64,48
39,50,46,48,70,42,44,58,50,52,51,51,51,50,44,49,42,51,64,48
39,50,46,48,70,42,43,58,50,52,51,51,52,50,44,49,42,51,64,48
39,50,46,48,70,43,43,58,50,51,51,51,52,50,44,49,42,51,64,48
39,50,46,48,70,43,43,58,50,51,50,51,52,50,45,49,42,51,64,48
39,50,46,47,70,43,43,58,50,51,50,51,52,50,45,50,42,51,64,48
38,50,46,47,70,43,43,58,51,51,50,51,52,50,45,50,42,51,64,48
38,50,46,47,70,44,43,58,51,51,50,51,52,50,45,50,42,51,63,48
38,49,46,47,70,44,43,58,52,51,50,51,52,50,45,50,42,51,63,48
38,49,46,47,70,44,43,57,52,51,51,51,52,50,45,50,42,51,63,48
38,49,46,47,69,44,43,57,52,52,51,51,52,50,45,50,42,51,63,48
38,49,46,46,69,44,43,57,52,52,51,51,52,50,45,50,42,51,63,49
38,49,46,46,69,44,43,57,52,52,51,51,52,50,45,50,42,51,63,49
38,49,47,46,69,44,43,57,52,52,51,51,52,50,45,50,42,51,62,49
38,49,47,46,69,44,43,58,52,52,51,51,52,50,45,50,42,51,61,49
39,49,46,46,69,44,43,58,52,52,51,51,52,50,45,50,42,51,61,49
39,48,46,46,69,44,43,58,52,52,51,51,52,51,45,50,42,51,61,49
39,48,46,46,68,44,43,58,52,52,51,51,52,52,45,50,42,51,61,49
39,48,45,47,68,44,43,58,52,52,51,51,52,52,45,50,42,51,61,49
39,48,45,47,67,44,43,58,52,52,51,51,52,52,45,50,43,51,61,49
39,48,45,47,67,44,43,57,52,52,51,51,52,52,45,50,43,52,61,49
39,47,45,47,67,44,43,57,52,52,51,51,53,52,45,50,43,52,61,49
39,47,45,47,67,43,43,57,52,52,51,51,53,52,46,50,43,52,61,49
39,47,45,48,67,43,43,57,52,52,51,50,53,52,46,50,43,52,61,49
39,47,45,48,67,43,43,57,52,52,51,50,53,52,46,50,42,52,62,49
39,47,45,48,67,43,43,57,52,52,51,49,53,52,46,50,43,52,62,49
39,47,46,48,67,42,43,57,52,52,51,49,53,52,46,50,43,52,62,49
38,47,46,48,67,42,43,57,52,52,51,49,53,53,46,50,43,52,62,49
38,47,46,48,67,42,42,57,52,52,52,49,53,53,46,50,43,52,62,49
38,47,46,48,67,42,42,58,52,52,52,48,53,53,46,50,43,52,62,49
38,47,46,49,66,42,42,58,52,52,52,48,53,53,46,50,43,52,62,49
38,47,47,48,66,42,42,58,52,52,52,48,53,53,46,50,43,52,62,49
38,47,47,47,66,42,42,58,53,52,52,48,53,53,46,50,43,52,62,49
38,47,47,47,67,42,42,58,53,52,52,48,53,53,46,50,43,52,61,49
38,47,47,47,67,42,42,58,53,52,52,48,53,53,46,49,43,52,62,49
38,47,47,47,68,42,42,58,53,52,52,48,53,53,46,48,43,52,62,49
38,47,47,47,68,42,42,58,53,52,52,48,52,53,46,48,43,52,62,50
38,47,47,47,68,42,42,58,53,52,53,48,52,53,46,48,43,51,62,50
38,47,47,47,68,42,42,58,53,52,53,47,52,53,46,48,44,51,62,50
39,47,47,47,68,42,41,58,53,52,53,47,52,53,46,48,44,51,62,50
39,47,47,47,68,42,41,58,53,52,53,47,52,53,46,48,44,51,61,51
39,47,47,47,68,42,41,58,53,52,53,47,52,53,46,48,43,52,61,51
39,47,47,47,68,42,41,58,53,52,54,47,52,53,46,47,43,52,61,51
39,47,47,47,68,42,40,58,53,53,54,47,52,53,46,47,43,52,61,51
39,47,47,47,68,42,40,58,53,53,54,47,52,54,46,47,43,52,60,51
39,47,47,46,68,42,40,58,53,53,54,47,52,54,46,47,44,52,60,51
39,47,47,46,67,42,40,58,53,53,54,48,52,54,46,47,44,52,60,51
39,48,47,46,67,42,40,58,53,53,54,48,52,54,46,46,44,52,60,51
39,48,47,47,67,42,40,57,53,53,54,48,52,54,46,46,44,52,60,51
39,48,47,47,68,42,39,57,53,53,54,48,52,54,46,46,44,52,60,51
39,48,47,47,68,42,39,58,53,53,54,48,52,54,46,46,44,52,59,51
39,48,47,47,68,43,39,58,53,53,54,48,52,54,46,46,43,52,59,51
39,48,47,47,67,43,39,58,53,53,54,48,52,54,46,46,44,52,59,51
39,48,47,47,67,43,39,58,52,53,54,48,52,54,46,47,44,52,59,51
40,48,47,47,67,43,39,58,52,53,54,48,52,54,45,47,44,52,59,51
40,48,47,47,67,44,38,58,52,53,54,48,52,54,45,47,44,52,59,51
40,48,47,47,67,44,38,58,51,53,54,48,52,54,45,48,44,52,59,51
40,48,47,47,67,44,38,58,51,53,54,48,51,54,45,49,44,52,59,51
40,48,47,47,67,45,38,58,51,52,54,48,51,54,45,49,44,52,59,51
40,48,47,47,66,46,38,58,51,52,54,48,51,54,45,49,44,52,59,51
39,48,47,47,67,46,38,58,51,52,54,48,51,54,45,49,44,52,59,51
39,48,47,46,67,46,38,58,51,52,55,48,51,54,45,49,44,52,59,51
40,48,47,46,67,46,38,57,51,52,55,48,51,54,45,49,44,52,59,51
40,48,47,46,67,46,38,57,51,52,54,48,51,54,46,49,44,52,59,51
40,48,47,46,67,46,38,57,51,52,54,48,51,54,46,49,44,52,59,51
40,48,47,46,67,46,38,57,51,52,54,48,51,54,46,49,43,52,60,51
40,47,47,47,67,46,38,57,51,52,54,48,51,54,46,49,43,52,60,51
40,47,47,47,67,46,38,57,51,52,54,48,51,54,46,49,43,52,60,51
40,47,46,47,67,46,38,57,51,52,54,48,51,55,46,49,43,52,60,51
40,47,46,47,67,47,38,57,51,52,54,48,51,55,46,49,43,52,59,51
40,47,46,48,67,46,38,57,51,52,54,48,51,55,46,49,43,52,59,51
40,48,46,48,67,46,38,57,51,52,54,47,51,55,46,49,43,52,59,51
40,49,46,48,67,46,38,57,51,52,54,47,51,55,46,49,43,51,59,51
40,49,46,48,67,46,38,57,51,52,54,47,50,55,46,49,44,51,59,51
40,49,46,48,67,46,38,57,51,52,54,47,50,56,45,49,44,51,59,51
40,49,46,48,67,46,38,57,51,52,54,46,50,56,45,49,45,51,59,51
40,49,46,49,67,46,38,57,51,52,54,46,50,56,45,49,45,51,59,50
40,49,46,49,67,46,38,57,50,52,54,46,50,56,45,49,46,51,59,50
39,49,46,50,67,46,38,57,50,52,54,46,50,56,45,49,46,51,59,50
39,49,46,50,68,46,38,57,50,52,54,46,50,56,45,49,46,50,59,50
39,48,46,50,68,46,38,57,50,52,54,46,51,56,45,49,46,50,59,50
39,48,46,50,68,46,37,58,50,52,54,46,51,56,45,49,46,50,59,50
39,48,46,50,68,46,37,57,50,52,54,46,51,56,46,49,46,50,59,50
39,48,45,50,68,46,37,57,50,52,54,46,51,56,47,49,46,50,59,50
38,48,45,50,68,46,37,57,50,52,55,46,51,56,47,49,46,50,59,50
38,48,45,50,68,46,37,57,50,52,56,46,51,56,47,48,46,50,59,50
38,48,45,50,67,46,37,57,50,52,56,46,51,56,47,48,47,50,59,50
38,48,45,50,67,46,37,57,50,52,57,46,51,56,47,48,47,50,59,49
38,48,45,50,67,46,37,57,50,52,57,47,51,56,47,48,47,50,59,48
38,48,45,50,67,46,37,58,50,52,57,47,51,56,47,48,47,49,59,48
38,48,45,50,67,46,37,58,50,52,57,47,51,56,47,49,46,49,59,48
38,48,45,50,67,46,37,58,50,52,57,48,50,56,47,49,46,49,59,48
38,48,45,49,67,46,37,58,50,52,57,48,50,56,47,49,46,49,60,48
38,48,45,49,67,46,37,58,50,52,58,48,50,56,46,49,46,49,60,48
38,48,45,49,67,46,36,58,50,52,58,48,50,56,47,49,46,49,60,48
38,48,44,49,67,46,36,58,51,52,58,48,50,56,47,49,46,49,60,48
38,48,44,49,66,46,37,58,51,52,58,48,50,56,47,49,46,49,60,48
38,48,44,48,66,47,37,58,51,52,58,48,50,56,47,49,46,49,60,48
38,48,44,48,66,46,37,58,51,52,58,48,50,57,47,49,46,49,60,48
38,48,44,48,66,45,37,58,51,52,58,48,51,57,47,49,46,49,60,48
38,48,44,48,66,45,37,58,51,52,58,48,51,57,47,48,46,49,60,49
39,48,44,48,66,45,37,58,51,52,58,48,51,57,47,48,45,49,60,49
39,48,44,49,66,45,37,58,51,52,58,48,51,57,47,48,45,48,60,49
39,48,44,49,66,45,37,58,51,52,58,48,51,57,46,49,45,48,60,49
39,48,44,49,66,45,37,58,51,51,58,49,51,57,46,49,45,48,60,49
39,48,44,49,65,45,37,58,52,51,58,49,51,57,46,49,45,48,60,49
39,48,44,49,64,45,37,58,52,51,58,49,51,57,46,49,45,49,60,49
39,48,44,48,64,45,37,58,52,51,58,50,51,57,46,49,45,49,60,49
39,48,44,48,64,45,37,59,52,51,58,49,51,57,46,49,45,49,60,49
39,48,44,48,64,45,37,59,52,51,58,49,51,57,47,49,45,48,60,49
39,48,44,48,64,45,37,59,52,51,59,49,51,57,47,49,45,48,59,49
39,48,44,48,64,45,37,59,52,51,59,49,51,57,47,49,45,48,59,49
39,48,44,48,64,45,37,59,53,50,59,49,51,57,47,49,45,48,59,49
39,48,44,48,65,44,37,59,53,50,59,49,51,57,47,49,45,48,59,49
39,48,44,48,65,44,37,59,53,49,59,50,51,57,47,49,45,48,59,49
39,48,44,48,65,44,37,59,53,49,59,49,51,57,48,49,45,48,59,49
39,48,44,48,65,44,37,59,54,49,59,49,51,56,48,49,45,48,59,49
39,48,44,48,65,44,37,59,54,49,60,49,51,56,48,49,45,48,58,49
39,49,44,48,65,44,37,59,54,49,60,48,51,56,48,49,45,48,58,49
39,48,44,48,65,44,37,59,54,49,61,48,51,56,48,49,45,48,58,49
39,48,44,48,65,44,37,59,54,49,61,48,51,56,48,49,45,48,58,49
39,48,44,48,65,43,37,59,54,50,61,48,51,56,48,49,45,48,58,49
39,48,44,48,64,43,37,59,54,50,61,48,51,56,48,49,45,49,58,49
39,48,45,48,64,43,37,59,54,50,61,48,51,56,48,49,45,48,58,49
39,49,45,48,64,42,37,59,54,50,61,48,51,56,48,49,45,48,58,49
39,49,45,48,64,42,37,59,54,49,61,49,51,56,48,49,45,48,58,49
39,50,45,48,64,42,37,59,54,49,61,48,51,56,48,49,45,48,58,49
39,50,44,48,64,42,37,60,54,49,61,48,51,56,48,49,45,48,58,49
39,50,44,48,65,41,37,60,54,49,61,48,51,56,48,49,45,48,58,49
39,51,44,48,65,41,37,60,54,49,61,48,51,56,48,49,45,47,58,49
39,51,44,48,65,41,37,60,54,49,61,48,51,56,47,49,45,47,59,49
39,51,44,48,65,41,38,60,54,49,61,47,51,56,47,49,45,47,59,49
39,51,44,47,65,42,38,60,54,49,61,47,51,56,47,49,45,47,59,49
39,51,45,47,65,42,38,60,54,49,61,47,51,56,47,49,45,47,59,48
39,51,45,47,65,42,39,60,54,49,61,47,51,56,47,49,45,46,59,48
40,51,45,47,65,42,39,60,54,49,61,47,51,56,46,49,45,46,59,48
41,51,45,47,65,42,39,60,54,49,61,47,51,56,46,49,44,46,59,48
41,51,45,47,64,42,39,60,54,50,61,47,51,56,46,49,44,46,59,48
41,51,45,47,64,42,39,60,54,50,61,47,51,56,46,49,44,46,59,48
41,51,45,47,64,43,39,59,54,50,61,47,51,56,46,49,44,46,59,48
41,51,45,47,64,43,39,59,54,50,61,47,51,56,46,49,44,46,59,48
42,51,45,47,64,43,39,59,54,50,61,47,51,56,46,49,44,46,58,48
42,51,45,47,64,43,39,59,54,50,61,47,51,55,46,50,44,46,58,48
42,51,46,47,64,43,39,59,54,50,61,46,51,55,46,50,44,46,58,48
42,51,46,47,64,43,40,59,54,50,61,46,51,55,45,50,44,46,58,48
42,51,46,47,64,43,40,59,54,50,61,46,51,55,45,50,44,45,58,49
42,51,46,46,64,43,40,59,54,50,61,46,51,55,46,50,44,45,58,49
41,51,46,46,64,43,40,59,54,50,61,46,51,55,46,50,45,45,58,49
41,51,46,46,64,43,40,59,54,50,60,46,51,55,46,51,45,45,58,49
41,51,46,46,65,43,40,59,54,50,60,46,51,55,46,51,45,45,57,49
41,51,46,46,65,43,40,59,54,50,60,46,50,55,46,51,46,45,57,49
41,51,46,47,65,42,40,59,54,50,60,46,50,55,46,51,46,45,57,49
41,51,46,47,65,42,40,60,54,50,59,46,50,55,46,51,46,45,57,49
41,51,45,47,65,42,40,61,54,50,59,46,50,55,46,51,46,45,57,49
41,51,45,47,65,42,40,61,54,50,59,46,50,55,45,51,46,45,58,49
41,51,45,47,65,43,40,61,54,50,59,46,50,55,45,51,45,45,58,49
41,51,45,48,65,43,40,61,53,50,59,46,50,55,45,51,45,45,58,49
41,51,45,48,65,43,40,61,53,50,59,46,50,55,45,51,45,45,58,49
42,51,45,47,65,43,40,61,53,50,59,46,50,55,45,51,45,45,58,49
42,51,45,47,65,43,40,61,54,50,59,46,50,54,45,51,45,45,58,49
42,51,45,47,65,43,40,61,54,50,60,46,50,54,45,51,45,44,58,49
42,51,45,47,65,43,40,61,54,50,60,46,49,54,46,51,45,44,58,49
42,51,45,46,65,43,40,61,54,50,60,46,49,54,46,51,46,44,58,49
42,51,44,46,65,43,40,61,54,50,60,46,49,54,46,51,46,45,58,49
42,51,44,46,65,43,40,61,54,50,60,46,49,55,46,51,46,45,58,48
42,51,44,46,65,43,40,61,54,50,60,46,49,55,46,51,46,45,58,48
42,51,44,46,65,43,41,61,54,50,60,46,49,54,46,51,46,45,58,48
42,51,44,46,65,43,41,61,54,50,60,46,49,54,46,51,46,45,59,47
42,51,44,46,65,43,41,62,54,50,60,46,49,54,46,51,45,45,59,47
42,51,44,46,65,43,42,62,54,49,60,46,49,54,46,51,45,45,59,47
42,51,44,46,65,43,42,62,54,49,60,45,49,55,46,51,45,45,59,47
42,51,44,46,65,43,42,62,54,49,60,45,49,54,47,51,45,45,59,47
42,51,44,46,65,43,42,62,55,49,60,45,49,54,47,51,45,45,59,46
42,51,44,46,65,43,42,63,55,49,60,45,49,54,47,50,45,45,59,46
42,51,44,46,65,43,42,64,55,49,60,45,49,54,46,50,45,45,59,46
42,51,44,46,65,43,42,63,55,49,60,45,49,54,46,50,45,45,60,46
42,51,44,46,65,42,42,63,55,49,60,45,49,55,46,50,45,45,60,46
42,51,44,46,65,41,42,63,55,49,60,46,49,55,46,50,45,45,60,46
42,51,44,46,65,41,42,63,55,49,60,46,49,55,46,51,44,45,60,46
42,51,45,46,65,41,42,63,55,49,60,46,49,55,46,51,44,44,60,46
43,51,45,46,65,41,42,63,55,49,60,46,49,54,46,51,44,44,60,46
43,51,44,46,65,41,42,63,55,49,60,46,49,54,46,52,44,44,60,46
43,51,44,46,65,41,42,63,56,49,60,46,48,54,46,52,44,44,60,46
43,51,44,46,65,41,41,63,56,49,60,46,48,54,47,52,44,44,60,46
43,51,44,47,64,41,41,63,56,49,60,46,48,54,47,52,44,44,60,46
43,51,44,47,64,41,41,63,56,49,60,46,48,54,47,52,44,44,60,46
